Year,Department or agency,Province or territory of work,Number of employees
2012,Hazardous Materials Information Review Commission Canada,National Capital Region (NCR),40
2012,Health Canada,Alberta,502
2012,Health Canada,British Columbia,488
2012,Health Canada,Manitoba,833
2012,Health Canada,National Capital Region (NCR),6941
2012,Health Canada,New Brunswick,24
2012,Health Canada,Newfoundland and Labrador,18
2012,Health Canada,Nova Scotia,256
2012,Health Canada,Ontario (minus the NCR),659
2012,Health Canada,Prince Edward Island,3
2012,Health Canada,Quebec (minus the NCR),517
2012,Health Canada,Saskatchewan,318
2012,Health Canada,Yukon,19
2012,Human Rights Tribunal of Canada,National Capital Region (NCR),20
2012,Immigration and Refugee Board of Canada,Alberta,13
2012,Immigration and Refugee Board of Canada,British Columbia,113
2012,Immigration and Refugee Board of Canada,National Capital Region (NCR),322
2012,Immigration and Refugee Board of Canada,Ontario (minus the NCR),420
2012,Immigration and Refugee Board of Canada,Outside of Canada,1
2012,Immigration and Refugee Board of Canada,Quebec (minus the NCR),191
2012,"Immigration, Refugees and Citizenship Canada",Alberta,334
2012,"Immigration, Refugees and Citizenship Canada",British Columbia,234
2012,"Immigration, Refugees and Citizenship Canada",Manitoba,70
2012,"Immigration, Refugees and Citizenship Canada",National Capital Region (NCR),2256
2012,"Immigration, Refugees and Citizenship Canada",New Brunswick,18
2012,"Immigration, Refugees and Citizenship Canada",Newfoundland and Labrador,9
2012,"Immigration, Refugees and Citizenship Canada",Northwest Territories,1
2012,"Immigration, Refugees and Citizenship Canada",Nova Scotia,461
2012,"Immigration, Refugees and Citizenship Canada",Ontario (minus the NCR),853
2012,"Immigration, Refugees and Citizenship Canada",Outside of Canada,236
2012,"Immigration, Refugees and Citizenship Canada",Prince Edward Island,3
2012,"Immigration, Refugees and Citizenship Canada",Quebec (minus the NCR),511
2012,"Immigration, Refugees and Citizenship Canada",Saskatchewan,30
2012,"Immigration, Refugees and Citizenship Canada",Yukon,1
2012,Impact Assessment Agency of Canada,Alberta,10
2012,Impact Assessment Agency of Canada,British Columbia,28
2012,Impact Assessment Agency of Canada,Manitoba,9
2012,Impact Assessment Agency of Canada,National Capital Region (NCR),150
2012,Impact Assessment Agency of Canada,Nova Scotia,10
2012,Impact Assessment Agency of Canada,Ontario (minus the NCR),22
2012,Impact Assessment Agency of Canada,Quebec (minus the NCR),11
2012,Indian Oil and Gas Canada,Alberta,79
2012,Indian Residential Schools Truth and Reconciliation Commission,Alberta,3
2012,Indian Residential Schools Truth and Reconciliation Commission,British Columbia,1
2012,Indian Residential Schools Truth and Reconciliation Commission,Manitoba,25
2012,Indian Residential Schools Truth and Reconciliation Commission,National Capital Region (NCR),11
2012,Indian Residential Schools Truth and Reconciliation Commission,Northwest Territories,5
2012,Indian Residential Schools Truth and Reconciliation Commission,Quebec (minus the NCR),1
2012,Indian Residential Schools Truth and Reconciliation Commission,Saskatchewan,1
2012,Infrastructure Canada,National Capital Region (NCR),348
2012,"Innovation, Science and Economic Development Canada",Alberta,97
2012,"Innovation, Science and Economic Development Canada",British Columbia,162
2012,"Innovation, Science and Economic Development Canada",Manitoba,70
2012,"Innovation, Science and Economic Development Canada",National Capital Region (NCR),4061
2012,"Innovation, Science and Economic Development Canada",New Brunswick,29
2012,"Innovation, Science and Economic Development Canada",Newfoundland and Labrador,21
2012,"Innovation, Science and Economic Development Canada",Northwest Territories,1
2012,"Innovation, Science and Economic Development Canada",Nova Scotia,56
2012,"Innovation, Science and Economic Development Canada",Nunavut,1
2012,"Innovation, Science and Economic Development Canada",Ontario (minus the NCR),433
2012,"Innovation, Science and Economic Development Canada",Prince Edward Island,2
2012,"Innovation, Science and Economic Development Canada",Quebec (minus the NCR),272
2012,"Innovation, Science and Economic Development Canada",Saskatchewan,27
2012,"Innovation, Science and Economic Development Canada",Yukon,1
2012,International Joint Commission,National Capital Region (NCR),18
2012,International Joint Commission,Ontario (minus the NCR),10
2012,Library and Archives Canada,Alberta,2
2012,Library and Archives Canada,British Columbia,17
2012,Library and Archives Canada,Manitoba,23
2012,Library and Archives Canada,National Capital Region (NCR),1052
2012,Library and Archives Canada,Nova Scotia,13
2012,Library and Archives Canada,Ontario (minus the NCR),15
2012,Library and Archives Canada,Quebec (minus the NCR),23
2012,Military Grievances External Review Committee,National Capital Region (NCR),36
2012,Military Police Complaints Commission of Canada,National Capital Region (NCR),16
2012,National Defence,Alberta,2041
2012,National Defence,British Columbia,2759
2012,National Defence,Manitoba,942
2012,National Defence,National Capital Region (NCR),8689
2012,National Defence,New Brunswick,1010
2012,National Defence,Newfoundland and Labrador,120
2012,National Defence,Northwest Territories,21
2012,National Defence,Nova Scotia,3439
2012,National Defence,Ontario (minus the NCR),4473
2012,National Defence,Outside of Canada,21
2012,National Defence,Prince Edward Island,5
2012,National Defence,Quebec (minus the NCR),3491
2012,National Defence,Saskatchewan,163
2012,National Defence,Yukon,3
2012,National Film Board,Alberta,8
2012,National Film Board,British Columbia,15
2012,National Film Board,Manitoba,2
2012,National Film Board,New Brunswick,4
2012,National Film Board,Newfoundland and Labrador,2
2012,National Film Board,Nova Scotia,5
2012,National Film Board,Ontario (minus the NCR),41
2012,National Film Board,Quebec (minus the NCR),347
2012,National Film Board,Saskatchewan,1
2012,National Research Council Canada,Alberta,127
2012,National Research Council Canada,British Columbia,293
2012,National Research Council Canada,Manitoba,110
2012,National Research Council Canada,National Capital Region (NCR),2155
2012,National Research Council Canada,New Brunswick,71
2012,National Research Council Canada,Newfoundland and Labrador,126
2012,National Research Council Canada,Nova Scotia,136
2012,National Research Council Canada,Ontario (minus the NCR),142
2012,National Research Council Canada,Outside of Canada,1
2012,National Research Council Canada,Prince Edward Island,32
2012,National Research Council Canada,Quebec (minus the NCR),585
2012,National Research Council Canada,Saskatchewan,167
2012,National Round Table on the Environment and the Economy,National Capital Region (NCR),32
2012,Natural Resources Canada,Alberta,341
2012,Natural Resources Canada,British Columbia,281
2012,Natural Resources Canada,Manitoba,7
2012,Natural Resources Canada,National Capital Region (NCR),3005
2012,Natural Resources Canada,New Brunswick,99
2012,Natural Resources Canada,Newfoundland and Labrador,28
2012,Natural Resources Canada,Northwest Territories,12
2012,Natural Resources Canada,Nova Scotia,89
2012,Natural Resources Canada,Nunavut,19
2012,Natural Resources Canada,Ontario (minus the NCR),305
2012,Natural Resources Canada,Outside of Canada,1
2012,Natural Resources Canada,Quebec (minus the NCR),450
2012,Natural Resources Canada,Saskatchewan,12
2012,Natural Resources Canada,Yukon,10
2012,Natural Sciences and Engineering Research Canada,British Columbia,4
2012,Natural Sciences and Engineering Research Canada,Manitoba,6
2012,Natural Sciences and Engineering Research Canada,National Capital Region (NCR),402
2012,Natural Sciences and Engineering Research Canada,New Brunswick,4
2012,Natural Sciences and Engineering Research Canada,Ontario (minus the NCR),5
2012,Natural Sciences and Engineering Research Canada,Quebec (minus the NCR),3
2012,Office of the Auditor General of Canada,Alberta,13
2012,Office of the Auditor General of Canada,British Columbia,18
2012,Office of the Auditor General of Canada,National Capital Region (NCR),590
2012,Office of the Auditor General of Canada,Nova Scotia,9
2012,Office of the Auditor General of Canada,Ontario (minus the NCR),1
2012,Office of the Auditor General of Canada,Quebec (minus the NCR),21
2012,Office of the Auditor General of Canada,Saskatchewan,1
2012,Office of the Commissioner for Federal Judicial Affairs Canada,National Capital Region (NCR),65
2012,Office of the Commissioner for Federal Judicial Affairs Canada,Ontario (minus the NCR),1
2012,Office of the Commissioner of Lobbying of Canada,National Capital Region (NCR),28
2012,Office of the Commissioner of Official Languages,Alberta,2
2012,Office of the Commissioner of Official Languages,British Columbia,1
2012,Office of the Commissioner of Official Languages,Manitoba,5
2012,Office of the Commissioner of Official Languages,National Capital Region (NCR),142
2012,Office of the Commissioner of Official Languages,New Brunswick,4
2012,Office of the Commissioner of Official Languages,Ontario (minus the NCR),5
2012,Office of the Commissioner of Official Languages,Quebec (minus the NCR),5
2012,Office of the Commissioner of Official Languages,Saskatchewan,1
2012,Office of the Governor General's Secretary,National Capital Region (NCR),163
2012,Office of the Governor General's Secretary,Outside of Canada,1
2012,Office of the Governor General's Secretary,Quebec (minus the NCR),2
2012,Office of the Public Sector Integrity Commissioner of Canada,National Capital Region (NCR),30
2012,Office of the Superintendent of Financial Institutions Canada,British Columbia,13
2012,Office of the Superintendent of Financial Institutions Canada,National Capital Region (NCR),277
2012,Office of the Superintendent of Financial Institutions Canada,Ontario (minus the NCR),296
2012,Office of the Superintendent of Financial Institutions Canada,Quebec (minus the NCR),17
2012,Offices of the Information and Privacy Commissioners of Canada,National Capital Region (NCR),268
2012,Offices of the Information and Privacy Commissioners of Canada,Ontario (minus the NCR),5
2012,Parks Canada,Alberta,716
2012,Parks Canada,British Columbia,432
2012,Parks Canada,Manitoba,240
2012,Parks Canada,National Capital Region (NCR),556
2012,Parks Canada,New Brunswick,89
2012,Parks Canada,Newfoundland and Labrador,124
2012,Parks Canada,Northwest Territories,77
2012,Parks Canada,Nova Scotia,340
2012,Parks Canada,Nunavut,34
2012,Parks Canada,Ontario (minus the NCR),537
2012,Parks Canada,Prince Edward Island,59
2012,Parks Canada,Quebec (minus the NCR),423
2012,Parks Canada,Saskatchewan,124
2012,Parks Canada,Yukon,70
2012,Parole Board of Canada,Alberta,43
2012,Parole Board of Canada,British Columbia,45
2012,Parole Board of Canada,National Capital Region (NCR),149
2012,Parole Board of Canada,New Brunswick,38
2012,Parole Board of Canada,Ontario (minus the NCR),61
2012,Parole Board of Canada,Quebec (minus the NCR),56
2012,Parole Board of Canada,Saskatchewan,36
2012,Passport Canada,Alberta,128
2012,Passport Canada,British Columbia,184
2012,Passport Canada,Manitoba,37
2012,Passport Canada,National Capital Region (NCR),1365
2012,Passport Canada,New Brunswick,15
2012,Passport Canada,Newfoundland and Labrador,15
2012,Passport Canada,Nova Scotia,24
2012,Passport Canada,Ontario (minus the NCR),582
2012,Passport Canada,Quebec (minus the NCR),316
2012,Passport Canada,Saskatchewan,30
2012,Patented Medicine Prices Review Board Canada,National Capital Region (NCR),56
2012,Privy Council Office,British Columbia,8
2012,Privy Council Office,National Capital Region (NCR),879
2012,Privy Council Office,Ontario (minus the NCR),1
2012,Privy Council Office,Outside of Canada,3
2012,Privy Council Office,Quebec (minus the NCR),1
2012,Public Health Agency of Canada,Alberta,63
2012,Public Health Agency of Canada,British Columbia,51
2012,Public Health Agency of Canada,Manitoba,553
2012,Public Health Agency of Canada,National Capital Region (NCR),1735
2012,Public Health Agency of Canada,New Brunswick,5
2012,Public Health Agency of Canada,Newfoundland and Labrador,5
2012,Public Health Agency of Canada,Northwest Territories,1
2012,Public Health Agency of Canada,Nova Scotia,41
2012,Public Health Agency of Canada,Nunavut,1
2012,Public Health Agency of Canada,Ontario (minus the NCR),208
2012,Public Health Agency of Canada,Outside of Canada,1
2012,Public Health Agency of Canada,Prince Edward Island,1
2012,Public Health Agency of Canada,Quebec (minus the NCR),88
2012,Public Health Agency of Canada,Saskatchewan,25
2012,Public Health Agency of Canada,Yukon,1
2012,Public Prosecution Service of Canada,Alberta,113
2012,Public Prosecution Service of Canada,British Columbia,102
2012,Public Prosecution Service of Canada,Manitoba,44
2012,Public Prosecution Service of Canada,National Capital Region (NCR),225
2012,Public Prosecution Service of Canada,New Brunswick,8
2012,Public Prosecution Service of Canada,Newfoundland and Labrador,8
2012,Public Prosecution Service of Canada,Northwest Territories,44
2012,Public Prosecution Service of Canada,Nova Scotia,50
2012,Public Prosecution Service of Canada,Nunavut,23
2012,Public Prosecution Service of Canada,Ontario (minus the NCR),172
2012,Public Prosecution Service of Canada,Quebec (minus the NCR),87
2012,Public Prosecution Service of Canada,Saskatchewan,24
2012,Public Prosecution Service of Canada,Yukon,30
2012,Public Safety Canada,Alberta,17
2012,Public Safety Canada,British Columbia,21
2012,Public Safety Canada,Manitoba,10
2012,Public Safety Canada,National Capital Region (NCR),986
2012,Public Safety Canada,New Brunswick,8
2012,Public Safety Canada,Newfoundland and Labrador,6
2012,Public Safety Canada,Northwest Territories,5
